"node"	"propform"	"tildevalue"	"%"	"actantslist"
"ls:fr:node:26429"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26430"	"~ utilisée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26431"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26432"	"~ de $1 à propos de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26434"	"$1 ~ $2"	"a"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26436"	"$1 ~ $2 à $3"	"avoue"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26438"	"~"	""	"100"	"()"
"ls:fr:node:26442"	"~ constituée de $2 utilisée par $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26444"	"~ qui sert à $1"	""	"100"	"($1=X)"
"ls:fr:node:26445"	"$1 ~"	"baîlle"	"100"	"($1=X)"
"ls:fr:node:26446"	"~ de $1 dans $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26447"	"~ par $1 à $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26448"	"$1 ~ $2"	"baisse"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26449"	"~ pour $2 auquel participent les $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26450"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26453"	"~"	""	"100"	"()"
"ls:fr:node:26454"	"~ de $2  qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26455"	"$1 qui est ~"	""	"100"	"($1=X)"
"ls:fr:node:26456"	"~ destimée à être consommée par $1"	""	"100"	"($1=X)"
"ls:fr:node:26458"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26461"	"~ où travaillent les $1 au service des $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26462"	"~ où $1 vend $2 à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26463"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26464"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26465"	"! ~  séparant le territoire $1 du territoire $2 surveillée par l'individu $3 pour empêcher le passage de $4"	""	"80"	"($1=X,$2=Y,$3=Z,$4=W)"
"ls:fr:node:26466"	"$1 qui est ~"	""	"100"	"($1=X)"
