"node"	"example"	"occurrence"	"position"	"%"
"ls:fr:node:26290"	"ls:fr:ex:16513"	"55,63;"	"0"	"100"
"ls:fr:node:26291"	"ls:fr:ex:32"	"77,80;"	"0"	"100"
"ls:fr:node:26291"	"ls:fr:ex:33"	"56,60;"	"1"	"100"
"ls:fr:node:26291"	"ls:fr:ex:34"	"145,149;"	"2"	"100"
"ls:fr:node:26291"	"ls:fr:ex:35"	"110,113;"	"3"	"100"
"ls:fr:node:26291"	"ls:fr:ex:36"	"143,146;"	"4"	"100"
"ls:fr:node:26291"	"ls:fr:ex:38"	"88,92;"	"5"	"100"
"ls:fr:node:26291"	"ls:fr:ex:39"	"79,83;"	"6"	"100"
"ls:fr:node:26291"	"ls:fr:ex:40"	"76,80;"	"7"	"100"
"ls:fr:node:26291"	"ls:fr:ex:41"	"64,68;"	"8"	"100"
"ls:fr:node:26292"	"ls:fr:ex:10596"	"94,99;"	"0"	"100"
"ls:fr:node:26293"	"ls:fr:ex:460"	"26,34;"	"0"	"100"
"ls:fr:node:26294"	"ls:fr:ex:8912"	"78,85;"	"0"	"100"
"ls:fr:node:26294"	"ls:fr:ex:2851"	"166,173;"	"1"	"100"
"ls:fr:node:26294"	"ls:fr:ex:4171"	"63,70;"	"2"	"100"
"ls:fr:node:26294"	"ls:fr:ex:8682"	"269,277;"	"3"	"100"
"ls:fr:node:26294"	"ls:fr:ex:10974"	"43,51;"	"4"	"100"
"ls:fr:node:26294"	"ls:fr:ex:21092"	"76,83;"	"5"	"100"
"ls:fr:node:26294"	"ls:fr:ex:100"	"180,188;"	"6"	"100"
"ls:fr:node:26295"	"ls:fr:ex:16844"	"149,156;"	"0"	"100"
"ls:fr:node:26296"	"ls:fr:ex:1256"	"125,127;"	"0"	"100"
"ls:fr:node:26297"	"ls:fr:ex:9705"	"37,45;"	"0"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14143"	"195,203;"	"1"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14144"	"20,29;"	"2"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14150"	"18,26;"	"3"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14151"	"44,53;"	"4"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14154"	"450,458;"	"5"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14147"	"221,229;"	"6"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14152"	"55,63;"	"7"	"100"
"ls:fr:node:26297"	"ls:fr:ex:14153"	"371,379;"	"8"	"100"
"ls:fr:node:26298"	"ls:fr:ex:24718"	"137,154;"	"0"	"100"
"ls:fr:node:26299"	"ls:fr:ex:24719"	"78,84;"	"0"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28247"	"176,184;"	"0"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28249"	"168,176;"	"1"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28250"	"255,263;"	"2"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28256"	"264,272;"	"3"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28252"	"160,168;"	"4"	"100"
"ls:fr:node:26300"	"ls:fr:ex:28257"	"118,126;"	"5"	"100"
"ls:fr:node:26301"	"ls:fr:ex:25127"	"88,96;117,123;"	"0"	"100"
"ls:fr:node:26301"	"ls:fr:ex:59"	"226,232;"	"1"	"100"
"ls:fr:node:26302"	"ls:fr:ex:16995"	"91,95;"	"0"	"100"
"ls:fr:node:26303"	"ls:fr:ex:16963"	"167,171;"	"0"	"100"
"ls:fr:node:26304"	"ls:fr:ex:24547"	"65,72;"	"0"	"100"
"ls:fr:node:26305"	"ls:fr:ex:9698"	"57,62;"	"0"	"100"
"ls:fr:node:26306"	"ls:fr:ex:2757"	"115,123;"	"0"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2958"	"81,87;"	"0"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2961"	"42,48;"	"1"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2968"	"280,286;"	"2"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2970"	"137,143;"	"3"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2973"	"77,83;"	"4"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2981"	"152,158;"	"5"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2986"	"260,266;"	"6"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2991"	"68,74;"	"7"	"100"
"ls:fr:node:26307"	"ls:fr:ex:2994"	"82,88;95,101;"	"8"	"100"
"ls:fr:node:26308"	"ls:fr:ex:16139"	"34,41;"	"0"	"100"
"ls:fr:node:26309"	"ls:fr:ex:1494"	"26,32;"	"0"	"100"
"ls:fr:node:26309"	"ls:fr:ex:1596"	"53,59;"	"1"	"100"
"ls:fr:node:26309"	"ls:fr:ex:1811"	"384,390;"	"2"	"100"
"ls:fr:node:26309"	"ls:fr:ex:1369"	"206,212;"	"3"	"100"
"ls:fr:node:26309"	"ls:fr:ex:2469"	"219,225;"	"4"	"100"
"ls:fr:node:26310"	"ls:fr:ex:1255"	"37,49;"	"0"	"100"
"ls:fr:node:26311"	"ls:fr:ex:8975"	"90,98;"	"0"	"100"
"ls:fr:node:26312"	"ls:fr:ex:6955"	"36,42;"	"0"	"100"
"ls:fr:node:26313"	"ls:fr:ex:8729"	"51,59;"	"0"	"100"
"ls:fr:node:26313"	"ls:fr:ex:21739"	"178,186;"	"1"	"100"
"ls:fr:node:26314"	"ls:fr:ex:438"	"87,94;"	"0"	"100"
"ls:fr:node:26315"	"ls:fr:ex:16859"	"22,30;"	"0"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2599"	"123,130;"	"0"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2601"	"249,256;"	"1"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2603"	"40,48;"	"2"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2609"	"149,156;"	"3"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2611"	"53,60;"	"4"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2612"	"175,182;263,270;"	"5"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2614"	"54,61;199,206;"	"6"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2617"	"39,46;"	"7"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2618"	"158,165;"	"8"	"100"
"ls:fr:node:26316"	"ls:fr:ex:2620"	"109,116;"	"9"	"100"
"ls:fr:node:26317"	"ls:fr:ex:3357"	"195,202;"	"0"	"100"
"ls:fr:node:26318"	"ls:fr:ex:863"	"138,142;"	"0"	"100"
"ls:fr:node:26319"	"ls:fr:ex:13621"	"36,42;"	"0"	"100"
"ls:fr:node:26320"	"ls:fr:ex:14242"	"74,82;144,154;"	"0"	"100"
"ls:fr:node:26321"	"ls:fr:ex:18538"	"83,92;"	"0"	"100"
"ls:fr:node:26323"	"ls:fr:ex:19942"	"203,216;"	"0"	"100"
"ls:fr:node:26324"	"ls:fr:ex:5989"	"39,47;"	"0"	"100"
"ls:fr:node:26324"	"ls:fr:ex:5990"	"235,243;"	"1"	"100"
"ls:fr:node:26324"	"ls:fr:ex:5991"	"60,68;"	"2"	"100"
"ls:fr:node:26325"	"ls:fr:ex:2842"	"75,84;"	"0"	"100"
"ls:fr:node:26326"	"ls:fr:ex:11028"	"234,243;"	"0"	"100"
"ls:fr:node:26327"	"ls:fr:ex:9986"	"79,90;"	"0"	"100"
"ls:fr:node:26327"	"ls:fr:ex:7176"	"128,139;"	"1"	"100"
"ls:fr:node:26327"	"ls:fr:ex:7761"	"18,29;"	"2"	"100"
"ls:fr:node:26327"	"ls:fr:ex:15191"	"83,94;"	"3"	"100"
"ls:fr:node:26327"	"ls:fr:ex:7326"	"88,100;"	"4"	"100"
"ls:fr:node:26327"	"ls:fr:ex:14746"	"164,175;"	"5"	"100"
"ls:fr:node:26327"	"ls:fr:ex:15188"	"16,27;219,230;"	"6"	"100"
"ls:fr:node:26327"	"ls:fr:ex:5334"	"169,181;"	"7"	"100"
"ls:fr:node:26327"	"ls:fr:ex:15189"	"172,183;"	"8"	"100"
"ls:fr:node:26327"	"ls:fr:ex:15190"	"106,117;"	"9"	"100"
"ls:fr:node:26328"	"ls:fr:ex:11775"	"208,221;"	"0"	"100"
"ls:fr:node:26329"	"ls:fr:ex:24836"	"106,115;"	"0"	"100"
"ls:fr:node:26331"	"ls:fr:ex:9644"	"241,248;"	"0"	"100"
"ls:fr:node:26332"	"ls:fr:ex:16335"	"103,114;"	"0"	"100"
"ls:fr:node:26333"	"ls:fr:ex:2681"	"115,125;"	"0"	"100"
"ls:fr:node:26334"	"ls:fr:ex:7838"	"406,420;"	"0"	"100"
"ls:fr:node:26335"	"ls:fr:ex:15928"	"16,25;"	"0"	"100"
"ls:fr:node:26336"	"ls:fr:ex:1822"	"54,63;"	"0"	"100"
"ls:fr:node:26336"	"ls:fr:ex:1824"	"18,26;"	"1"	"100"
"ls:fr:node:26336"	"ls:fr:ex:9989"	"18,24;"	"2"	"100"
"ls:fr:node:26336"	"ls:fr:ex:7375"	"55,63;"	"3"	"100"
"ls:fr:node:26336"	"ls:fr:ex:12076"	"20,22;28,34;"	"4"	"100"
"ls:fr:node:26337"	"ls:fr:ex:23161"	"32,40;"	"0"	"100"
"ls:fr:node:26338"	"ls:fr:ex:4377"	"71,79;"	"1"	"100"
"ls:fr:node:26338"	"ls:fr:ex:9555"	"256,266;"	"2"	"100"
"ls:fr:node:26338"	"ls:fr:ex:9417"	"29,37;"	"3"	"100"
"ls:fr:node:26339"	"ls:fr:ex:4728"	"45,60;"	"0"	"100"
"ls:fr:node:26340"	"ls:fr:ex:5627"	"71,78;"	"0"	"100"
"ls:fr:node:26341"	"ls:fr:ex:218"	"16,21;"	"0"	"100"
"ls:fr:node:26341"	"ls:fr:ex:12308"	"56,61;"	"1"	"100"
"ls:fr:node:26341"	"ls:fr:ex:1020"	"165,170;"	"2"	"100"
"ls:fr:node:26342"	"ls:fr:ex:4571"	"24,36;"	"0"	"100"
