"id"	"addtoname"	"name"	"subscript"	"superscript"	"status"	"%"
"ls:fr:entry:26524"	""	"bombe"	""	""	"2"	"100"
"ls:fr:entry:26525"	""	"bon"	"Adj"	""	"1"	"100"
"ls:fr:entry:26526"	""	"Bon appétit"	""	""	"2"	"100"
"ls:fr:entry:26527"	""	"bonbon"	""	""	"2"	"100"
"ls:fr:entry:26528"	""	"bonheur"	""	""	"2"	"100"
"ls:fr:entry:26529"	""	"bonhomme"	""	""	"2"	"100"
"ls:fr:entry:26530"	""	"bonjour"	""	""	"2"	"100"
"ls:fr:entry:26531"	""	"bonnet"	""	""	"0"	"100"
"ls:fr:entry:26532"	""	"bonsoir"	""	""	"2"	"100"
"ls:fr:entry:26533"	""	"bonté"	""	""	"2"	"100"
"ls:fr:entry:26534"	""	"bord"	""	""	"2"	"100"
"ls:fr:entry:26535"	""	"bosse"	""	""	"2"	"100"
"ls:fr:entry:26536"	""	"botte"	""	"1"	"2"	"100"
"ls:fr:entry:26537"	""	"bouche"	""	""	"2"	"100"
"ls:fr:entry:26538"	""	"bouchée"	""	""	"2"	"100"
"ls:fr:entry:26539"	""	"boucher"	"N"	""	"1"	"100"
"ls:fr:entry:26540"	""	"boucher"	"V"	""	"2"	"100"
"ls:fr:entry:26541"	""	"bouchon"	""	"1"	"2"	"100"
"ls:fr:entry:26542"	""	"boucle"	""	""	"2"	"100"
"ls:fr:entry:26543"	""	"boue"	""	""	"2"	"100"
"ls:fr:entry:26544"	""	"bouger"	""	""	"2"	"100"
"ls:fr:entry:26545"	""	"bougie"	""	""	"2"	"100"
"ls:fr:entry:26546"	""	"bouillir"	""	""	"2"	"100"
"ls:fr:entry:26547"	""	"boulanger"	"N"	""	"2"	"100"
"ls:fr:entry:26548"	""	"boulangerie"	""	""	"2"	"100"
"ls:fr:entry:26549"	""	"boule"	""	""	"2"	"100"
"ls:fr:entry:26550"	""	"boulevard"	""	""	"2"	"100"
"ls:fr:entry:26551"	""	"bouleverser"	""	""	"2"	"100"
"ls:fr:entry:26552"	""	"bouquet"	""	""	"2"	"100"
"ls:fr:entry:26553"	""	"bousculer"	""	""	"2"	"100"
"ls:fr:entry:26554"	""	"bout"	""	""	"2"	"100"
"ls:fr:entry:26555"	""	"bouteille"	""	""	"2"	"100"
"ls:fr:entry:26556"	""	"boutique"	""	""	"2"	"100"
"ls:fr:entry:26557"	""	"bouton"	""	""	"2"	"100"
"ls:fr:entry:26558"	""	"boutonner"	""	""	"2"	"100"
"ls:fr:entry:26559"	""	"boxe"	""	""	"1"	"100"
"ls:fr:entry:26560"	""	"boxeur"	""	""	"1"	"100"
"ls:fr:entry:26561"	""	"bracelet"	""	""	"2"	"100"
"ls:fr:entry:26562"	""	"braguette"	""	""	"2"	"100"
"ls:fr:entry:26563"	""	"branche"	""	""	"2"	"100"
"ls:fr:entry:26564"	""	"brancher"	""	""	"2"	"100"
